cell_id,i_n,i_log_eta,i_log_sy,i_W,i_H,n_lo,n_hi,log_eta_lo,log_eta_hi,log_sy_lo,log_sy_hi,W_lo,W_hi,H_lo,H_hi,current_n,target_n,priority_mult,deficit,est_particles,est_cost,machine_id
168,3,3,0,1,0,0.7200000006,0.8600000007999999,3.2903119168892845,4.497047196272742,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,58,110,2,52,276614.6631514942,14383962.4838777,0
169,4,3,0,1,0,0.8600000007999999,1.000000001,3.2903119168892845,4.497047196272742,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,55,110,2,55,276614.6631514942,15213806.473332182,0
171,1,4,0,1,0,0.44000000019999996,0.5800000004,4.497047196272742,5.703782475656201,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,66,110,2,44,276614.6631514942,12171045.178665746,0
173,3,4,0,1,0,0.7200000006,0.8600000007999999,4.497047196272742,5.703782475656201,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,94,110,2,16,276614.6631514942,4425834.610423908,0
175,0,0,1,1,0,0.3,0.44000000019999996,-0.3298939212610904,0.8768413581223679,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,34,165,3,131,276614.6631514942,36236520.87284575,0
176,1,0,1,1,0,0.44000000019999996,0.5800000004,-0.3298939212610904,0.8768413581223679,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,37,165,3,128,276614.6631514942,35406676.88339126,0
177,2,0,1,1,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,69,165,3,96,276614.6631514942,26555007.662543446,0
181,1,1,1,1,0,0.44000000019999996,0.5800000004,0.8768413581223679,2.0835766375058262,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,78,165,3,87,276614.6631514942,24065475.694179997,0
182,2,1,1,1,0,0.5800000004,0.7200000006,0.8768413581223679,2.0835766375058262,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,68,165,3,97,276614.6631514942,26831622.32569494,0
183,3,1,1,1,0,0.7200000006,0.8600000007999999,0.8768413581223679,2.0835766375058262,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,60,165,3,105,276614.6631514942,29044539.630906895,0
184,4,1,1,1,0,0.8600000007999999,1.000000001,0.8768413581223679,2.0835766375058262,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,50,165,3,115,276614.6631514942,31810686.262421835,0
187,2,2,1,1,0,0.5800000004,0.7200000006,2.0835766375058262,3.2903119168892845,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,69,110,2,41,276614.6631514942,11341201.189211264,0
190,0,3,1,1,0,0.3,0.44000000019999996,3.2903119168892845,4.497047196272742,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,77,110,2,33,276614.6631514942,9128283.88399931,0
192,2,3,1,1,0,0.5800000004,0.7200000006,3.2903119168892845,4.497047196272742,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,64,110,2,46,276614.6631514942,12724274.504968734,0
193,3,3,1,1,0,0.7200000006,0.8600000007999999,3.2903119168892845,4.497047196272742,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,52,110,2,58,276614.6631514942,16043650.462786665,0
196,1,4,1,1,0,0.44000000019999996,0.5800000004,4.497047196272742,5.703782475656201,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,60,110,2,50,276614.6631514942,13830733.157574711,0
197,2,4,1,1,0,0.5800000004,0.7200000006,4.497047196272742,5.703782475656201,-3.842375067243693,-1.8756071441733577,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,76,110,2,34,276614.6631514942,9404898.547150804,0
204,4,0,2,1,0,0.8600000007999999,1.000000001,-0.3298939212610904,0.8768413581223679,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,60,165,3,105,276614.6631514942,29044539.630906895,0
209,4,1,2,1,0,0.8600000007999999,1.000000001,0.8768413581223679,2.0835766375058262,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,100,165,3,65,276614.6631514942,17979953.104847126,0
210,0,2,2,1,0,0.3,0.44000000019999996,2.0835766375058262,3.2903119168892845,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,98,110,2,12,276614.6631514942,3319375.9578179307,0
215,0,3,2,1,0,0.3,0.44000000019999996,3.2903119168892845,4.497047196272742,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,90,110,2,20,276614.6631514942,5532293.263029885,0
216,1,3,2,1,0,0.44000000019999996,0.5800000004,3.2903119168892845,4.497047196272742,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,89,110,2,21,276614.6631514942,5808907.926181379,0
217,2,3,2,1,0,0.5800000004,0.7200000006,3.2903119168892845,4.497047196272742,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,86,110,2,24,276614.6631514942,6638751.915635861,0
218,3,3,2,1,0,0.7200000006,0.8600000007999999,3.2903119168892845,4.497047196272742,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,81,110,2,29,276614.6631514942,8021825.231393333,0
219,4,3,2,1,0,0.8600000007999999,1.000000001,3.2903119168892845,4.497047196272742,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,107,110,2,3,276614.6631514942,829843.9894544827,0
223,3,4,2,1,0,0.7200000006,0.8600000007999999,4.497047196272742,5.703782475656201,-1.8756071441733577,0.09116077889697749,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,95,110,2,15,276614.6631514942,4149219.9472724134,0
225,0,0,3,1,0,0.3,0.44000000019999996,-0.3298939212610904,0.8768413581223679,0.09116077889697749,2.0579287019673123,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,82,110,2,28,276614.6631514942,7745210.568241838,0
226,1,0,3,1,0,0.44000000019999996,0.5800000004,-0.3298939212610904,0.8768413581223679,0.09116077889697749,2.0579287019673123,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,81,110,2,29,276614.6631514942,8021825.231393333,0
227,2,0,3,1,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,0.09116077889697749,2.0579287019673123,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,92,110,2,18,276614.6631514942,4979063.936726896,0
228,3,0,3,1,0,0.7200000006,0.8600000007999999,-0.3298939212610904,0.8768413581223679,0.09116077889697749,2.0579287019673123,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,90,110,2,20,276614.6631514942,5532293.263029885,0
234,4,1,3,1,0,0.8600000007999999,1.000000001,0.8768413581223679,2.0835766375058262,0.09116077889697749,2.0579287019673123,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,80,110,2,30,276614.6631514942,8298439.894544827,0
242,2,3,3,1,0,0.5800000004,0.7200000006,3.2903119168892845,4.497047196272742,0.09116077889697749,2.0579287019673123,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,54,55,1,1,276614.6631514942,276614.6631514942,0
250,0,0,4,1,0,0.3,0.44000000019999996,-0.3298939212610904,0.8768413581223679,2.0579287019673123,4.024696625037647,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,106,110,2,4,276614.6631514942,1106458.652605977,0
251,1,0,4,1,0,0.44000000019999996,0.5800000004,-0.3298939212610904,0.8768413581223679,2.0579287019673123,4.024696625037647,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,90,110,2,20,276614.6631514942,5532293.263029885,0
275,0,0,5,1,0,0.3,0.44000000019999996,-0.3298939212610904,0.8768413581223679,4.024696625037647,5.991464548107982,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,62,110,2,48,276614.6631514942,13277503.831271723,0
276,1,0,5,1,0,0.44000000019999996,0.5800000004,-0.3298939212610904,0.8768413581223679,4.024696625037647,5.991464548107982,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,63,110,2,47,276614.6631514942,13000889.168120228,0
277,2,0,5,1,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,4.024696625037647,5.991464548107982,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,68,110,2,42,276614.6631514942,11617815.852362758,0
278,3,0,5,1,0,0.7200000006,0.8600000007999999,-0.3298939212610904,0.8768413581223679,4.024696625037647,5.991464548107982,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,62,110,2,48,276614.6631514942,13277503.831271723,0
279,4,0,5,1,0,0.8600000007999999,1.000000001,-0.3298939212610904,0.8768413581223679,4.024696625037647,5.991464548107982,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,52,110,2,58,276614.6631514942,16043650.462786665,0
281,1,1,5,1,0,0.44000000019999996,0.5800000004,0.8768413581223679,2.0835766375058262,4.024696625037647,5.991464548107982,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,101,110,2,9,276614.6631514942,2489531.968363448,0
283,3,1,5,1,0,0.7200000006,0.8600000007999999,0.8768413581223679,2.0835766375058262,4.024696625037647,5.991464548107982,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,100,110,2,10,276614.6631514942,2766146.6315149423,0
302,2,0,0,2,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,5.333333334000001,7.000000001,2.0,3.6666666670000003,70,165,3,95,368819.5508778795,35037857.33339855,0
303,3,0,0,2,0,0.7200000006,0.8600000007999999,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,5.333333334000001,7.000000001,2.0,3.6666666670000003,81,165,3,84,368819.5508778795,30980842.27374188,0
305,0,1,0,2,0,0.3,0.44000000019999996,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,5.333333334000001,7.000000001,2.0,3.6666666670000003,108,165,3,57,368819.5508778795,21022714.400039133,0
306,1,1,0,2,0,0.44000000019999996,0.5800000004,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,5.333333334000001,7.000000001,2.0,3.6666666670000003,95,165,3,70,368819.5508778795,25817368.561451565,0
307,2,1,0,2,0,0.5800000004,0.7200000006,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,5.333333334000001,7.000000001,2.0,3.6666666670000003,80,165,3,85,368819.5508778795,31349661.824619755,0
308,3,1,0,2,0,0.7200000006,0.8600000007999999,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,5.333333334000001,7.000000001,2.0,3.6666666670000003,84,165,3,81,368819.5508778795,29874383.621108238,0
310,0,2,0,2,0,0.3,0.44000000019999996,2.0835766375058262,3.2903119168892845,-5.809142990314028,-3.842375067243693,5.333333334000001,7.000000001,2.0,3.6666666670000003,52,110,2,58,368819.5508778795,21391533.95091701,0
